UF;Ano;Total F06;Subfunção;Valor;Pct
GO;2018;2807535260,45;Demais Subfunções;70848788,28;2,5235226527001537
GO;2019;3643720859,68;Policiamento;191085768,25;5,244248272815871
GO;2019;3643720859,68;Defesa Civil;414860394,86;11,38562504748056
GO;2019;3643720859,68;Administração Geral;2988554758,28;82,01931139539768
GO;2019;3643720859,68;Demais Subfunções;49219938,29;1,3508152843059062
GO;2020;3135240199,99;Policiamento;139303620,47;4,44315623633699
GO;2020;3135240199,99;Defesa Civil;357190639,62;11,392767916829444
GO;2020;3135240199,99;Informação e Inteligência;1044531,76;0,03331584482756159
GO;2020;3135240199,99;Administração Geral;2637021848,71;84,10908512586727
GO;2020;3135240199,99;Demais Subfunções;679559,43;0,021674876138745847
GO;2021;3179193139,86;Policiamento;139641646,97;4,3923612321379535
GO;2021;3179193139,86;Defesa Civil;353406121,45;11,116220559835591
GO;2021;3179193139,86;Informação e Inteligência;647413,42;0,020364079548451396
GO;2021;3179193139,86;Administração Geral;2683709489,87;84,41479871802254
GO;2021;3179193139,86;Demais Subfunções;1788468,15;0,0562554104554578
GO;2022;3451974835,87;Policiamento;169046124,68;4,89708450141107
GO;2022;3451974835,87;Defesa Civil;404652139,35;11,722337461594377
